date,time,park,land,attraction,wait_time,is_open
2025-07-08,09:15,Tokyo DisneySea,Port Discovery,Aquatopia,5,True
2025-07-08,09:15,Tokyo DisneySea,Mermaid Lagoon,Blowfish Balloon Race,5,True
2025-07-08,09:15,Tokyo DisneySea,Arabian Coast,Caravan Carousel,0,False
2025-07-08,09:15,Tokyo DisneySea,American Waterfront,DisneySea Electric Railway,5,True
2025-07-08,09:15,Tokyo DisneySea,Mediterranean Harbor,DisneySea Transit Steamer Line,0,False
2025-07-08,09:15,Tokyo DisneySea,Fantasy Springs,Frozen Ever After,40,True
2025-07-08,09:15,Tokyo DisneySea,Lost River Delta,Indiana Jones Adventure: Temple of the Crystal Skull,5,True
2025-07-08,09:15,Tokyo DisneySea,Arabian Coast,Jasmine's Flying Carpets,5,True
2025-07-08,09:15,Tokyo DisneySea,Mysterious Island,Journey to the Center of the Earth,20,True
2025-07-08,09:15,Tokyo DisneySea,Mermaid Lagoon,Jumpin' Jellyfish,5,True
2025-07-08,09:15,Tokyo DisneySea,Port Discovery,Nemo & Friends SeaRider,15,True
2025-07-08,09:15,Tokyo DisneySea,Fantasy Springs,Peter Pan's Neverland Adventure,5,True
2025-07-08,09:15,Tokyo DisneySea,Lost River Delta,Raging Spirits,5,True
2025-07-08,09:15,Tokyo DisneySea,Fantasy Springs,Rapunzel's Lantern Festival,10,True
2025-07-08,09:15,Tokyo DisneySea,Mermaid Lagoon,Scuttle's Scooters,5,True
2025-07-08,09:15,Tokyo DisneySea,Arabian Coast,Sindbad's Storybook Voyage,5,True
2025-07-08,09:15,Tokyo DisneySea,Port Discovery,Soaring: Fantastic Flight,50,True
2025-07-08,09:15,Tokyo DisneySea,Arabian Coast,The Magic Lamp Theater,0,False
2025-07-08,09:15,Tokyo DisneySea,Fantasy Springs,Tinker Bell's Neverland Adventure,5,True
2025-07-08,09:15,Tokyo DisneySea,American Waterfront,Tower of Terror,10,True
2025-07-08,09:15,Tokyo DisneySea,American Waterfront,Toy Story Mania!,20,True
2025-07-08,09:15,Tokyo DisneySea,American Waterfront,Turtle Talk,20,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Alice's Tea Party,5,True
2025-07-08,09:15,Tokyo Disneyland,Tomorrowland,Baymax's Happy Ride,60,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Beauty and the Beast,0,False
2025-07-08,09:15,Tokyo Disneyland,Westernland,Big Thunder Mountain,10,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Castle Carrousel,5,True
2025-07-08,09:15,Tokyo Disneyland,Toontown,Chip 'n' Dale's Treehouse,5,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Cinderella's Fairy Tale Hall,0,False
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Dumbo the Flying Elephant,5,True
2025-07-08,09:15,Tokyo Disneyland,Toontown,Gadget's Go Coaster,5,True
2025-07-08,09:15,Tokyo Disneyland,Westernland,Haunted Mansion,5,True
2025-07-08,09:15,Tokyo Disneyland,Adventureland,Jungle Cruise,5,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Mickey's PhilharMagic,5,True
2025-07-08,09:15,Tokyo Disneyland,Toontown,Minnie's House,5,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Peter Pan's Flight,5,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,Pinocchio's Daring Journey,5,True
2025-07-08,09:15,Tokyo Disneyland,Adventureland,Pirates of the Caribbean,10,True
2025-07-08,09:15,Tokyo Disneyland,Critter Country,Pooh's Hunny Hunt,20,True
2025-07-08,09:15,Tokyo Disneyland,Toontown,Roger Rabbit's Car Toon Spin,5,True
2025-07-08,09:15,Tokyo Disneyland,Westernland,Splash Mountain,30,True
2025-07-08,09:15,Tokyo Disneyland,Tomorrowland,Star Tours,5,True
2025-07-08,09:15,Tokyo Disneyland,Fantasyland,it's a small world,5,True
2025-07-08,09:45,Tokyo DisneySea,Port Discovery,Aquatopia,5,True
2025-07-08,09:45,Tokyo DisneySea,Mermaid Lagoon,Blowfish Balloon Race,5,True
2025-07-08,09:45,Tokyo DisneySea,Arabian Coast,Caravan Carousel,0,False
2025-07-08,09:45,Tokyo DisneySea,American Waterfront,DisneySea Electric Railway,10,True
2025-07-08,09:45,Tokyo DisneySea,Mediterranean Harbor,DisneySea Transit Steamer Line,0,False
